x1,x2,x3,x4,y
5,15,2.5,10,1.486984
5,15,5,10,0.834552
5,15,10,10,0.34856
5,15,20,10,0.108452
5,15,30,10,0.055872
5,15,40,10,0.039612
5,15,50,10,0.030092
5,15,1,20,1.959656
5,15,2.5,20,0.943348
5,15,5,20,0.348648
5,15,10,20,0.074288
5,15,20,20,0.024496
5,15,30,20,0.013864
5,15,40,20,0.00438
5,15,1,30,1.5331
5,15,2.5,30,0.520024
5,15,5,30,0.10874
5,15,10,30,0.024616
5,15,20,30,0.004884
5,15,1,40,1.10026
5,15,2.5,40,0.229172
5,15,5,40,0.033504
5,15,10,40,0.009268
5,20,1,10,1.986852
5,20,2.5,10,1.092988
5,20,5,10,0.525692
5,20,10,10,0.179228
5,20,20,10,0.05658
5,20,30,10,0.035972
5,20,40,10,0.027364
5,20,50,10,0.021672
5,20,1,20,1.578604
5,20,2.5,20,0.611012
5,20,5,20,0.172408
5,20,10,20,0.03988
5,20,20,20,0.017808
5,20,30,20,0.00658
5,20,1,30,1.161432
5,20,2.5,30,0.286536
5,20,5,30,0.04832
5,20,10,30,0.017848
5,20,1,40,0.767704
5,20,2.5,40,0.09906
5,20,5,40,0.022704
5,20,10,40,0.004
